date,weekday,direction,sweep,uptrend,result,pnl_pts
2025-04-14,Lunes,SELL,ALTO,True,LOSS,-54.6
2025-04-15,Martes,BUY,BAJO,False,WIN,122.7
2025-04-16,Miércoles,SELL,ALTO,True,WIN,190.3
2025-04-17,Jueves,BUY,BAJO,True,LOSS,-70.6
2025-04-21,Lunes,BUY,BAJO,False,LOSS,-14.1
2025-04-23,Miércoles,SELL,ALTO,True,LOSS,-23.2
2025-04-24,Jueves,BUY,BAJO,True,WIN,144.5
2025-04-25,Viernes,BUY,BAJO,True,FLAT,79.5
2025-04-28,Lunes,SELL,ALTO,True,LOSS,-29.3
2025-04-29,Martes,BUY,BAJO,True,LOSS,-49.3
2025-04-30,Miércoles,BUY,BAJO,True,FLAT,15.3
2025-04-30,Miércoles,SELL,ALTO,True,WIN,194.8
2025-05-01,Jueves,SELL,ALTO,True,WIN,76.2
2025-05-02,Viernes,BUY,BAJO,True,WIN,96.6
2025-05-05,Lunes,BUY,BAJO,True,WIN,75.2
2025-05-06,Martes,BUY,BAJO,True,LOSS,-7.3
2025-05-07,Miércoles,BUY,BAJO,True,LOSS,-71.4
2025-05-08,Jueves,SELL,ALTO,True,WIN,83.0
2025-05-09,Viernes,BUY,BAJO,True,WIN,64.5
2025-05-09,Viernes,SELL,ALTO,True,WIN,64.5
2025-05-12,Lunes,SELL,ALTO,True,WIN,204.1
2025-05-14,Miércoles,BUY,BAJO,True,WIN,76.9
2025-05-14,Miércoles,SELL,ALTO,True,LOSS,-28.9
2025-05-15,Jueves,BUY,BAJO,True,WIN,104.8
2025-05-16,Viernes,SELL,ALTO,True,LOSS,-5.6
2025-05-19,Lunes,BUY,BAJO,True,WIN,76.9
2025-05-21,Miércoles,BUY,BAJO,False,WIN,56.6
2025-05-22,Jueves,BUY,BAJO,False,WIN,95.0
2025-05-22,Jueves,SELL,ALTO,False,LOSS,-24.4
2025-05-23,Viernes,BUY,BAJO,True,FLAT,124.0
2025-05-23,Viernes,SELL,ALTO,True,WIN,419.8
2025-05-26,Lunes,SELL,ALTO,True,LOSS,-4.0
2025-05-28,Miércoles,BUY,BAJO,True,WIN,100.0
2025-05-28,Miércoles,SELL,ALTO,True,LOSS,-36.5
2025-05-29,Jueves,BUY,BAJO,True,LOSS,-76.2
2025-05-29,Jueves,SELL,ALTO,True,WIN,166.8
2025-05-30,Viernes,BUY,BAJO,True,FLAT,-6.6
2025-05-30,Viernes,SELL,ALTO,True,WIN,84.4
2025-06-02,Lunes,SELL,ALTO,True,LOSS,-36.8
2025-06-03,Martes,BUY,BAJO,True,WIN,101.0
2025-06-04,Miércoles,BUY,BAJO,True,WIN,63.2
2025-06-04,Miércoles,SELL,ALTO,True,LOSS,-13.4
2025-06-05,Jueves,BUY,BAJO,True,LOSS,-14.8
2025-06-05,Jueves,SELL,ALTO,True,WIN,86.6
2025-06-09,Lunes,SELL,ALTO,True,WIN,54.0
2025-06-11,Miércoles,SELL,ALTO,True,FLAT,-7.5
2025-06-12,Jueves,BUY,BAJO,False,WIN,80.0
2025-06-13,Viernes,SELL,ALTO,True,LOSS,-30.2
2025-06-16,Lunes,SELL,ALTO,False,LOSS,-27.5
2025-06-17,Martes,BUY,BAJO,False,WIN,50.4
2025-06-18,Miércoles,SELL,ALTO,True,WIN,50.5
2025-06-20,Viernes,BUY,BAJO,True,WIN,115.0
2025-06-23,Lunes,SELL,ALTO,True,WIN,105.8
2025-06-25,Miércoles,SELL,ALTO,True,LOSS,-45.5
2025-06-26,Jueves,SELL,ALTO,True,WIN,44.6
2025-06-27,Viernes,SELL,ALTO,True,WIN,40.5
2025-06-30,Lunes,SELL,ALTO,True,WIN,32.9
2025-07-01,Martes,BUY,BAJO,True,LOSS,-68.5
2025-07-02,Miércoles,BUY,BAJO,True,WIN,126.2
2025-07-04,Viernes,BUY,BAJO,True,FLAT,-1.0
2025-07-07,Lunes,BUY,BAJO,True,LOSS,-18.7
2025-07-07,Lunes,SELL,ALTO,True,WIN,52.8
2025-07-09,Miércoles,SELL,ALTO,True,LOSS,0.0
2025-07-10,Jueves,SELL,ALTO,True,LOSS,-4.0
2025-07-11,Viernes,BUY,BAJO,True,WIN,66.5
2025-07-14,Lunes,SELL,ALTO,True,LOSS,0.0
2025-07-15,Martes,SELL,ALTO,True,LOSS,-28.3
2025-07-16,Miércoles,SELL,ALTO,True,WIN,72.7
2025-07-18,Viernes,BUY,BAJO,True,WIN,31.1
2025-07-21,Lunes,BUY,BAJO,True,LOSS,-34.7
2025-07-21,Lunes,SELL,ALTO,True,LOSS,-11.6
2025-07-22,Martes,BUY,BAJO,True,LOSS,-22.4
2025-07-23,Miércoles,BUY,BAJO,True,LOSS,-17.0
2025-07-23,Miércoles,SELL,ALTO,True,WIN,30.2
2025-07-24,Jueves,BUY,BAJO,True,WIN,35.2
2025-07-24,Jueves,SELL,ALTO,True,WIN,35.2
2025-07-25,Viernes,BUY,BAJO,True,LOSS,-10.0
2025-07-28,Lunes,BUY,BAJO,True,LOSS,0.0
2025-07-29,Martes,SELL,ALTO,True,LOSS,-5.9
2025-07-30,Miércoles,BUY,BAJO,False,LOSS,-23.9
2025-07-30,Miércoles,SELL,ALTO,False,LOSS,-16.7
2025-07-31,Jueves,BUY,BAJO,False,LOSS,-25.8
2025-08-01,Viernes,BUY,BAJO,True,LOSS,-35.2
2025-08-04,Lunes,SELL,ALTO,False,LOSS,0.0
2025-08-05,Martes,BUY,BAJO,True,LOSS,-36.5
2025-08-05,Martes,SELL,ALTO,True,WIN,51.7
2025-08-06,Miércoles,BUY,BAJO,True,WIN,59.9
2025-08-06,Miércoles,SELL,ALTO,True,LOSS,-33.5
2025-08-07,Jueves,SELL,ALTO,True,LOSS,0.0
2025-08-08,Viernes,SELL,ALTO,True,LOSS,-6.3
2025-08-11,Lunes,BUY,BAJO,True,WIN,48.2
2025-08-12,Martes,SELL,ALTO,True,LOSS,-108.5
2025-08-13,Miércoles,SELL,ALTO,True,LOSS,-11.9
2025-08-14,Jueves,BUY,BAJO,True,WIN,92.5
2025-08-14,Jueves,SELL,ALTO,True,WIN,92.5
2025-08-15,Viernes,BUY,BAJO,True,LOSS,-7.3
2025-08-18,Lunes,BUY,BAJO,False,LOSS,-9.6
2025-08-19,Martes,SELL,ALTO,False,WIN,34.5
2025-08-20,Miércoles,SELL,ALTO,False,WIN,54.9
2025-08-21,Jueves,BUY,BAJO,False,LOSS,-67.2
2025-08-22,Viernes,SELL,ALTO,True,LOSS,0.0
2025-08-25,Lunes,BUY,BAJO,False,LOSS,0.0
2025-08-26,Martes,SELL,ALTO,True,LOSS,-32.5
2025-08-27,Miércoles,BUY,BAJO,True,LOSS,-25.5
2025-08-28,Jueves,SELL,ALTO,False,LOSS,-19.6
2025-08-29,Viernes,BUY,BAJO,True,LOSS,-10.0
2025-09-02,Martes,BUY,BAJO,False,LOSS,-47.0
2025-09-03,Miércoles,SELL,ALTO,True,LOSS,0.0
2025-09-04,Jueves,SELL,ALTO,True,LOSS,-20.2
2025-09-05,Viernes,BUY,BAJO,True,WIN,64.8
2025-09-05,Viernes,SELL,ALTO,True,WIN,64.8
2025-09-08,Lunes,SELL,ALTO,True,LOSS,-13.1
2025-09-09,Martes,BUY,BAJO,True,LOSS,-25.1
2025-09-10,Miércoles,BUY,BAJO,True,WIN,70.2
2025-09-10,Miércoles,SELL,ALTO,True,FLAT,7.8
2025-09-11,Jueves,BUY,BAJO,True,WIN,73.6
2025-09-11,Jueves,SELL,ALTO,True,LOSS,-27.6
2025-09-12,Viernes,BUY,BAJO,True,WIN,31.9
2025-09-12,Viernes,SELL,ALTO,True,LOSS,-12.8
