Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Datetime,,,,,
2026-01-08 01:00:00+00:00,25818.5,25844.5,25817.0,25842.0,1365
2026-01-08 01:15:00+00:00,25837.0,25839.0,25819.25,25820.0,898
2026-01-08 01:30:00+00:00,25834.5,25837.5,25820.75,25837.5,797
2026-01-08 01:45:00+00:00,25837.75,25840.25,25831.25,25835.0,603
2026-01-08 02:00:00+00:00,25827.25,25840.5,25826.25,25837.0,776
2026-01-08 02:15:00+00:00,25824.75,25832.75,25820.0,25826.75,713
2026-01-08 02:30:00+00:00,25797.5,25827.5,25795.25,25825.5,1325
2026-01-08 02:45:00+00:00,25786.25,25800.75,25774.0,25799.5,1706
2026-01-08 03:00:00+00:00,25789.75,25795.25,25777.75,25786.5,1038
2026-01-08 03:15:00+00:00,25784.25,25793.75,25779.5,25790.25,744
2026-01-08 03:30:00+00:00,25775.75,25790.5,25774.5,25784.75,799
2026-01-08 03:45:00+00:00,25776.75,25781.75,25769.75,25775.25,547
2026-01-08 04:00:00+00:00,25783.25,25785.5,25773.75,25776.25,437
2026-01-08 04:15:00+00:00,25784.0,25794.0,25775.0,25783.5,625
2026-01-08 04:30:00+00:00,25775.5,25785.75,25773.75,25783.5,501
2026-01-08 04:45:00+00:00,25779.25,25781.5,25772.75,25777.0,324
2026-01-08 05:00:00+00:00,25760.25,25779.5,25759.25,25778.75,840
2026-01-08 05:15:00+00:00,25763.5,25768.0,25759.0,25760.25,680
2026-01-08 05:30:00+00:00,25746.75,25763.5,25743.25,25763.5,1147
2026-01-08 05:45:00+00:00,25738.25,25752.5,25737.25,25748.0,673
2026-01-08 06:00:00+00:00,25693.75,25742.5,25686.75,25738.5,3106
2026-01-08 06:15:00+00:00,25675.0,25695.0,25670.0,25693.0,2255
2026-01-08 06:30:00+00:00,25699.75,25700.5,25672.0,25675.25,1615
2026-01-08 06:45:00+00:00,25705.75,25710.25,25696.75,25700.0,1170
2026-01-08 07:00:00+00:00,25715.5,25717.25,25680.5,25705.75,1565
2026-01-08 07:15:00+00:00,25759.5,25805.25,25706.75,25716.5,5338
2026-01-08 07:30:00+00:00,25773.0,25779.5,25741.75,25757.75,2051
2026-01-08 07:45:00+00:00,25749.75,25773.0,25747.5,25772.25,956
2026-01-08 08:00:00+00:00,25776.0,25777.25,25747.5,25749.0,1884
2026-01-08 08:15:00+00:00,25787.25,25787.5,25769.5,25775.25,1337
2026-01-08 08:30:00+00:00,25800.5,25803.5,25777.25,25787.5,2046
2026-01-08 08:45:00+00:00,25780.5,25801.5,25779.0,25801.25,1175
2026-01-08 09:00:00+00:00,25784.5,25795.5,25772.25,25780.75,1038
2026-01-08 09:15:00+00:00,25769.5,25783.75,25762.25,25783.75,1254
2026-01-08 09:30:00+00:00,25759.25,25773.25,25755.75,25770.25,900
2026-01-08 09:45:00+00:00,25770.0,25770.0,25751.0,25759.75,1148
2026-01-08 10:00:00+00:00,25751.25,25770.0,25744.0,25769.0,950
2026-01-08 10:15:00+00:00,25748.5,25756.0,25745.25,25751.0,723
2026-01-08 10:30:00+00:00,25764.5,25768.0,25745.75,25748.0,905
2026-01-08 10:45:00+00:00,25772.25,25774.25,25752.5,25764.25,769
2026-01-08 11:00:00+00:00,25773.5,25781.0,25764.0,25772.75,1242
2026-01-08 11:15:00+00:00,25779.0,25785.75,25766.5,25774.0,601
2026-01-08 11:30:00+00:00,25774.25,25786.0,25738.75,25778.25,2837
2026-01-08 11:45:00+00:00,25771.75,25785.0,25767.75,25774.25,855
